texcl,Porosity_LUT,RSM_LUT,BBL_LUT,PSD_LUT,ksat_LUT
Sand,0.437,0.02,72.6,0.592,0.05833
Loamy sand,0.437,0.035,86.9,0.474,0.01697
Sandy loam,0.453,0.041,146.6,0.322,0.00719
Loam,0.463,0.027,111.5,0.22,0.00367
Silt loam,0.501,0.015,207.6,0.211,0.00189
Sandy clay loam,0.398,0.068,280.8,0.25,0.00119
Clay loam,0.464,0.075,258.9,0.194,0.000639
Silty clay loam,0.471,0.04,325.6,0.151,0.000417
Sandy clay,0.43,0.109,291.7,0.168,0.00033
Silty clay,0.479,0.056,341.9,0.127,0.00025
Clay,0.475,0.09,373,0.131,0.000166667
